0.1 0.030 -0.206 -0.346 -0.611 -330.9944765914   -331.0178910385   -330.6019381867
0.2 0.026 -0.250 -0.390 -0.624 -331.0149282223   -331.0431464330   -330.6117531408
0.3 0.027 -0.283 -0.422 -0.655 -331.0416933441   -331.0726900157   -330.6323040735
0.35 0.028 -0.296 -0.434 -0.667 -331.0549585608   -331.0867277019   -330.6424612000
0.36 0.028 -0.298 -0.436 -0.670 -331.0575216693   -331.0894133355   -330.6444019079
0.37 0.028 -0.300 -0.438 -0.671 -331.0600484053   -331.0920531914   -330.6463230028
0.38 0.028 -0.302 -0.440 -0.673 -331.0625366265   -331.0946452900   -330.6482301988
0.39 0.028 -0.304 -0.442 -0.675 -331.0649804937   -331.0971889212   -330.6501197743
0.4 0.028 -0.306 -0.444 -0.677 -331.0673851993   -331.0996837273   -330.6519913585
0.41 0.028 -0.308 -0.446 -0.679 -331.0697465955   -331.1021294614   -330.6538429125
0.42 0.028 -0.310 -0.448 -0.680 -331.0720637957   -331.1045240809   -330.6556901633
0.43 0.028 -0.312 -0.449 -0.682 -331.0743364288   -331.1068684513   -330.6574099260
0.44 0.028 -0.313 -0.451 -0.683 -331.0765641883   -331.1091625475   -330.6591350147
0.45 0.028 -0.315 -0.453 -0.685 -331.0787467856   -331.1114079835   -330.6608579779
0.5 0.029 -0.322 -0.460 -0.693 -331.0889978036   -331.1219086368   -330.6689267633
0.6 0.029 -0.332 -0.470 -0.698 -331.1065344787   -331.1397446627   -330.6836805621
0.7 0.029 -0.339 -0.477 -0.706 -331.1211539516   -331.1545146727   -330.6965996432
0.8 0.029 -0.344 -0.482 -0.710 -331.1340484206   -331.1674862995   -330.7085071696
0.9 0.029 -0.347 -0.485 -0.713 -331.1460355345   -331.1795132888   -330.7199386420
1 0.029 -0.349 -0.487 -0.715 -331.1575304943   -331.1910284457   -330.7311411400
2 0.029 -0.354 -0.492 -0.720 -331.2363673897   -331.2698837037   -330.8098231154
