0.1 0.032 -0.151 -0.301 -0.653 -342.9666801724   -342.9913439336   -342.6058320630
0.2 0.071 -0.159 -0.343 -0.698 -342.9359554833   -343.0043938690   -342.6183553474
0.3 0.027 -0.221 -0.371 -0.732 -342.9877645139   -343.0190875398   -342.6328520402
0.35 0.028 -0.232 -0.382 -0.745 -342.9942730637   -343.0263169443   -342.6400089573
0.36 0.028 -0.234 -0.383 -0.747 -342.9955792981   -343.0277376831   -342.6414178478
0.37 0.028 -0.235 -0.385 -0.749 -342.9968841057   -343.0291487036   -342.6428183649
0.38 0.028 -0.237 -0.387 -0.751 -342.9981866027   -343.0305497324   -342.6442102513
0.39 0.028 -0.239 -0.388 -0.754 -342.9994857761   -343.0319405513   -342.6455934013
0.4 0.028 -0.240 -0.390 -0.756 -343.0007811749   -343.0333209101   -342.6469678380
0.41 0.028 -0.242 -0.391 -0.757 -343.0020719676   -343.0346908066   -342.6483335553
0.42 0.028 -0.243 -0.393 -0.759 -343.0033579122   -343.0360501845   -342.6496905721
0.43 0.028 -0.244 -0.394 -0.761 -343.0046385444   -343.0373991394   -342.6510391108
0.44 0.028 -0.246 -0.395 -0.763 -343.0059136677   -343.0387376693   -342.6523792936
0.45 0.028 -0.247 -0.396 -0.764 -343.0071830488   -343.0400662076   -342.6537113613
0.5 0.029 -0.252 -0.401 -0.772 -343.0134422129   -343.0465653511   -342.6602608559
0.6 0.029 -0.260 -0.409 -0.783 -343.0256050562   -343.0590242383   -342.6729629501
0.7 0.029 -0.264 -0.413 -0.790 -343.0375841909   -343.0711686907   -342.6854713247
0.8 0.029 -0.267 -0.416 -0.795 -343.0496748260   -343.0833618449   -342.6980601221
0.9 0.029 -0.269 -0.418 -0.798 -343.0619669142   -343.0957233076   -342.7107882360
1 0.029 -0.270 -0.419 -0.800 -343.0743528275   -343.1081587173   -342.7235328909
2 0.030 -0.272 -0.421 -0.805 -343.1591231729   -343.1930373757   -342.8091933321
