0.1 0.031 -0.198 -0.340 -0.602 -330.9934401644   -331.0170407597   -330.6035810889
0.2 0.026 -0.242 -0.383 -0.621 -331.0136924445   -331.0422347494   -330.6093547502
0.3 0.027 -0.275 -0.415 -0.651 -331.0401602216   -331.0716218723   -330.6292387487
0.4 0.029 -0.298 -0.437 -0.671 -331.0655897257   -331.0984073504   -330.6482057544
0.5 0.029 -0.314 -0.452 -0.685 -331.0869393837   -331.1203994680   -330.6647433658
0.55 0.029 -0.319 -0.458 -0.691 -331.0960277393   -331.1296732752   -330.6720355106
0.56 0.029 -0.320 -0.459 -0.692 -331.0977339165   -331.1314089058   -330.6734399997
0.57 0.029 -0.321 -0.460 -0.693 -331.0994056304   -331.1331087087   -330.6748194975
0.58 0.029 -0.322 -0.461 -0.693 -331.1010445805   -331.1347736426   -330.6761797711
0.59 0.029 -0.323 -0.462 -0.694 -331.1026518838   -331.1364056808   -330.6775359022
0.6 0.029 -0.324 -0.462 -0.696 -331.1042290537   -331.1380055710   -330.6788251020
0.61 0.029 -0.325 -0.463 -0.696 -331.1057774448   -331.1395754112   -330.6801671579
0.62 0.030 -0.326 -0.464 -0.697 -331.1072983163   -331.1411163125   -330.6814688878
0.63 0.030 -0.326 -0.465 -0.697 -331.1087929647   -331.1426298848   -330.6827171927
0.64 0.030 -0.327 -0.465 -0.698 -331.1102628969   -331.1441174291   -330.6840030767
0.65 0.030 -0.328 -0.466 -0.698 -331.1117093987   -331.1455802154   -330.6853087196
0.7 0.030 -0.331 -0.469 -0.700 -331.1186320339   -331.1525702227   -330.6916235648
0.8 0.030 -0.335 -0.474 -0.704 -331.1313511504   -331.1653737545   -330.7032602330
0.9 0.030 -0.338 -0.477 -0.707 -331.1432057333   -331.1772740149   -330.7145770700
1 0.030 -0.340 -0.479 -0.709 -331.1546083508   -331.1887002936   -330.7256663056
2 0.030 -0.345 -0.483 -0.713 -331.2333866515   -331.2675034741   -330.8042679321
