0.1 0.004 -0.034 -0.268 -0.592 -290.5101868735   -290.4647526827   -290.1210439887
0.2 -0.028 -0.069 -0.308 -0.636 -290.5207506182   -290.4750299940   -290.1306637193
0.3 -0.047 -0.090 -0.333 -0.667 -290.5327843051   -290.4869026310   -290.1422992489
0.35 -0.053 -0.096 -0.341 -0.678 -290.5388719540   -290.4929276456   -290.1483032338
0.36 -0.054 -0.098 -0.343 -0.680 -290.5400853081   -290.4941331636   -290.1495115354
0.37 -0.054 -0.099 -0.344 -0.682 -290.5412968252   -290.4953387357   -290.1507222732
0.38 -0.055 -0.100 -0.345 -0.684 -290.5425066128   -290.4965445963   -290.1519354481
0.39 -0.056 -0.101 -0.346 -0.685 -290.5437146484   -290.4977507325   -290.1531511503
0.4 -0.057 -0.102 -0.348 -0.687 -290.5449211732   -290.4989573372   -290.1543694844
0.41 -0.058 -0.102 -0.349 -0.689 -290.5461264707   -290.5001647956   -290.1555906375
0.42 -0.058 -0.103 -0.350 -0.690 -290.5473306581   -290.5013732897   -290.1568148125
0.43 -0.059 -0.104 -0.351 -0.692 -290.5485341477   -290.5025829273   -290.1580421373
0.44 -0.060 -0.105 -0.352 -0.693 -290.5497371900   -290.5037941190   -290.1592727783
0.45 -0.060 -0.105 -0.353 -0.694 -290.5509402493   -290.5050069857   -290.1605070434
0.5 -0.063 -0.108 -0.356 -0.700 -290.5569684370   -290.5111082925   -290.1667384381
0.6 -0.066 -0.112 -0.361 -0.709 -290.5692330195   -290.5235928219   -290.1795600871
0.7 -0.067 -0.114 -0.364 -0.714 -290.5819480021   -290.5365450750   -290.1928759641
0.8 -0.068 -0.115 -0.366 -0.718 -290.5950675624   -290.5498626630   -290.2065242752
0.9 -0.069 -0.116 -0.367 -0.720 -290.6083219485   -290.5632603461   -290.2201943311
1 -0.069 -0.116 -0.368 -0.721 -290.6213408179   -290.5763735394   -290.2335179782
2 -0.069 -0.117 -0.369 -0.723 -290.6921194222   -290.6474414577   -290.3049371177
