0.1 0.010 -0.261 -0.308 -0.616 -340.7087388156   -340.6632084743   -340.3082266437
0.15 -0.011 -0.286 -0.333 -0.642 -340.7426739721   -340.6954030393   -340.3376575048
0.16 -0.014 -0.291 -0.338 -0.647 -340.7497930528   -340.7023561368   -340.3441084256
0.17 -0.017 -0.295 -0.342 -0.651 -340.7569677083   -340.7094170326   -340.3506885178
0.18 -0.020 -0.299 -0.346 -0.656 -340.7641806600   -340.7165645606   -340.3573770705
0.19 -0.023 -0.303 -0.350 -0.660 -340.7714185215   -340.7237800723   -340.3641557054
0.2 -0.026 -0.307 -0.354 -0.664 -340.7786691466   -340.7310471804   -340.3710078558
0.21 -0.028 -0.311 -0.358 -0.668 -340.7859219783   -340.7383516461   -340.3779188262
0.22 -0.031 -0.315 -0.361 -0.672 -340.7931701194   -340.7456810163   -340.3848754589
0.23 -0.033 -0.318 -0.365 -0.676 -340.8004051827   -340.7530243252   -340.3918664626
0.24 -0.035 -0.321 -0.368 -0.679 -340.8076213793   -340.7603720883   -340.3988812488
0.25 -0.037 -0.324 -0.371 -0.682 -340.8148132647   -340.7677160800   -340.4059110800
0.3 -0.045 -0.338 -0.384 -0.697 -340.8502773590   -340.8041623231   -340.4410408645
0.4 -0.056 -0.358 -0.403 -0.719 -340.9180361360   -340.8743764840   -340.5096302526
0.5 -0.061 -0.370 -0.415 -0.733 -340.9816152513   -340.9403821800   -340.5749227635
0.6 -0.064 -0.378 -0.423 -0.742 -341.0420134712   -341.0028361806   -340.6371870301
0.7 -0.066 -0.383 -0.428 -0.747 -341.1002062903   -341.0626286723   -340.6970489815
0.8 -0.067 -0.386 -0.431 -0.751 -341.1567197485   -341.1203219347   -340.7549120613
0.9 -0.068 -0.388 -0.433 -0.753 -341.2116548044   -341.1760987601   -340.8108768967
1 -0.068 -0.390 -0.434 -0.755 -341.2648520931   -341.2298855207   -340.8648343078
2 -0.069 -0.393 -0.436 -0.758 -341.6635780621   -341.6300543872   -341.2657378589
