   13   -1418.8811816142      5.15E-09 Convergence criterion met
   11   -1418.8835707362      2.53E-09 Convergence criterion met
   10   -1418.8836540734      4.68E-09 Convergence criterion met
    9   -1418.8836580597      3.65E-09 Convergence criterion met
    2   -1418.8836580568      4.39E-10 Convergence criterion met
    8   -1418.8836575968      2.92E-09 Convergence criterion met
    8   -1418.8836574563      9.34E-09 Convergence criterion met
    8   -1418.8836575287      4.83E-09 Convergence criterion met
    8   -1418.8836575268      8.01E-09 Convergence criterion met
    8   -1418.8836570634      8.99E-09 Convergence criterion met
    9   -1418.8836571403      2.09E-09 Convergence criterion met
    8   -1418.8836579559      5.43E-09 Convergence criterion met
    7   -1418.8836579534      6.23E-09 Convergence criterion met
    7   -1418.8836579525      4.90E-09 Convergence criterion met
    7   -1418.8836579538      6.10E-09 Convergence criterion met
    7   -1418.8836573626      9.63E-09 Convergence criterion met
    8   -1418.8836574604      3.95E-09 Convergence criterion met
    8   -1418.8836575536      4.02E-09 Convergence criterion met
    8   -1418.8836577588      7.54E-09 Convergence criterion met
    8   -1418.8836579878      5.09E-09 Convergence criterion met
    7   -1418.8836579903      8.20E-09 Convergence criterion met
    8   -1418.8836579803      3.93E-09 Convergence criterion met
    8   -1418.8836579651      5.88E-09 Convergence criterion met
    8   -1418.8836579183      3.86E-09 Convergence criterion met
    8   -1418.8836578882      6.08E-09 Convergence criterion met
    8   -1418.8836577987      5.46E-09 Convergence criterion met
    8   -1418.8836576883      7.79E-09 Convergence criterion met
