   11    -119.0965464463      4.19E-09 Convergence criterion met
    9    -119.0968428770      3.67E-09 Convergence criterion met
    7    -119.0968497329      7.00E-09 Convergence criterion met
    2    -119.0968495661      1.52E-09 Convergence criterion met
    6    -119.0968487006      7.13E-09 Convergence criterion met
    7    -119.0968487009      3.23E-09 Convergence criterion met
    7    -119.0968484847      4.83E-09 Convergence criterion met
    7    -119.0968484860      3.09E-09 Convergence criterion met
    7    -119.0968487577      6.29E-09 Convergence criterion met
    8    -119.0968482637      3.58E-09 Convergence criterion met
    7    -119.0968483036      8.63E-09 Convergence criterion met
    7    -119.0968490176      7.88E-09 Convergence criterion met
    7    -119.0968486161      5.31E-09 Convergence criterion met
    7    -119.0968485352      2.62E-09 Convergence criterion met
    7    -119.0968484045      5.24E-09 Convergence criterion met
    7    -119.0968488522      7.58E-09 Convergence criterion met
    7    -119.0968489060      4.25E-09 Convergence criterion met
    7    -119.0968482170      7.78E-09 Convergence criterion met
    7    -119.0968484534      5.30E-09 Convergence criterion met
    7    -119.0968485344      2.72E-09 Convergence criterion met
    7    -119.0968484043      5.26E-09 Convergence criterion met
    7    -119.0968488522      7.57E-09 Convergence criterion met
    7    -119.0968493905      3.96E-09 Convergence criterion met
    6    -119.0968494664      6.05E-09 Convergence criterion met
    7    -119.0968491757      2.39E-09 Convergence criterion met
    7    -119.0968491101      4.29E-09 Convergence criterion met
    7    -119.0968491196      3.66E-09 Convergence criterion met
    7    -119.0968493853      3.62E-09 Convergence criterion met
    7    -119.0968495205      2.11E-09 Convergence criterion met
    6    -119.0968494663      6.04E-09 Convergence criterion met
    7    -119.0968491111      2.39E-09 Convergence criterion met
    7    -119.0968491772      4.28E-09 Convergence criterion met
    6    -119.0968490418      7.38E-09 Convergence criterion met
    7    -119.0968493854      3.64E-09 Convergence criterion met
    7    -119.0968491526      3.82E-09 Convergence criterion met
    7    -119.0968490407      4.82E-09 Convergence criterion met
    7    -119.0968495169      2.61E-09 Convergence criterion met
    5    -119.0968494837      8.79E-09 Convergence criterion met
    6    -119.0968494011      9.80E-09 Convergence criterion met
    7    -119.0968492606      3.58E-09 Convergence criterion met
    7    -119.0968490364      2.77E-09 Convergence criterion met
    7    -119.0968492022      4.80E-09 Convergence criterion met
    7    -119.0968494509      2.60E-09 Convergence criterion met
    5    -119.0968494843      8.73E-09 Convergence criterion met
    6    -119.0968494012      9.80E-09 Convergence criterion met
    7    -119.0968492607      3.58E-09 Convergence criterion met
    6    -119.0968496122      9.78E-09 Convergence criterion met
    6    -119.0968494394      7.68E-09 Convergence criterion met
    7    -119.0968492329      3.05E-09 Convergence criterion met
    7    -119.0968490797      5.56E-09 Convergence criterion met
    7    -119.0968494361      4.64E-09 Convergence criterion met
    7    -119.0968492284      4.34E-09 Convergence criterion met
    7    -119.0968494943      2.68E-09 Convergence criterion met
    6    -119.0968494395      7.68E-09 Convergence criterion met
    7    -119.0968490629      3.06E-09 Convergence criterion met
    7    -119.0968491904      5.58E-09 Convergence criterion met
    6    -119.0968494573      6.95E-09 Convergence criterion met
    7    -119.0968492285      4.34E-09 Convergence criterion met
    7    -119.0968494473      2.55E-09 Convergence criterion met
    6    -119.0968495133      7.68E-09 Convergence criterion met
    7    -119.0968490370      3.05E-09 Convergence criterion met
    7    -119.0968491905      5.57E-09 Convergence criterion met
    6    -119.0968494572      6.95E-09 Convergence criterion met
    7    -119.0968492284      4.34E-09 Convergence criterion met
    7    -119.0968493854      2.37E-09 Convergence criterion met
