g2g71000 -0.01  
g2g71008 -0.05  
g2g71012 -0.01  
g2g71013 -0.01  
g2g71020 -0.01  
g2g71027 -0.01  
g2g71030 -0.01  
g2g71036 -0.01  
g2g71038 -0.01  
g2g71046 -0.01  
g2g71051 -0.01  
g2g71061 -0.01  
g2g71063 -0.01  
g2g71065 -0.01  
g2g71066 -0.02  
g2g71067 -0.01  
g2g71069 -0.02  
g2g71070 -0.01  
g2g71071 0.01  
g2g71073 -0.01  
g2g71080 -0.01  
g2g71087 -0.01  
g2g71089 -0.01  
g2g71095 0.07  
g2g71096 0.01  
g2g71097 -0.01  
g2g71098 -0.01  
g2g71100 0.02  
g2g71105 -0.01  
g2g71110 -0.01  
g2g71111 0.01  
g2g71112 0.01  
g2g71114 -0.01  
g2g71118 -0.01  
g2g71133 0.02  
g2g71137 0.01  
g2g71146 0.01  
