0.1 0.030 -0.172 -0.295 -0.543 -195.0545200971   -195.0825298562   -194.7274086857
0.2 0.031 -0.215 -0.338 -0.587 -195.0908944731   -195.1248540617   -194.7638661918
0.25 0.032 -0.232 -0.354 -0.604 -195.1116833720   -195.1473332158   -194.7824933098
0.26 0.032 -0.235 -0.357 -0.607 -195.1155212128   -195.1516651596   -194.7860392727
0.27 0.032 -0.238 -0.360 -0.611 -195.1194727417   -195.1559027534   -194.7894954344
0.28 0.033 -0.240 -0.363 -0.614 -195.1233613783   -195.1600349937   -194.7926877987
0.29 0.033 -0.243 -0.365 -0.616 -195.1272503885   -195.1640543356   -194.7960091346
0.3 0.033 -0.246 -0.368 -0.619 -195.1309804680   -195.1680295988   -194.7992003711
0.31 0.033 -0.248 -0.370 -0.622 -195.1346766701   -195.1718664562   -194.8022058664
0.32 0.033 -0.251 -0.372 -0.624 -195.1382310049   -195.1754978850   -194.8051345276
0.33 0.033 -0.253 -0.375 -0.627 -195.1415412427   -195.1789921670   -194.8079622861
0.34 0.034 -0.255 -0.377 -0.629 -195.1447598241   -195.1824610887   -194.8106108577
0.35 0.034 -0.257 -0.379 -0.632 -195.1477860396   -195.1856581658   -194.8131035672
0.36 0.034 -0.259 -0.381 -0.617 -195.1507523868   -195.1887554395   -194.8060412655
0.4 0.034 -0.267 -0.388 -0.624 -195.1613977033   -195.1995724174   -194.8152410776
0.5 0.035 -0.280 -0.402 -0.639 -195.1775351323   -195.2161102399   -194.8285276195
0.6 0.035 -0.289 -0.411 -0.648 -195.1814962417   -195.2200545242   -194.8307233376
0.7 0.035 -0.295 -0.416 -0.654 -195.1768872758   -195.2155189130   -194.8255464208
0.8 0.035 -0.299 -0.420 -0.658 -195.1680381346   -195.2066888911   -194.8165772354
0.9 0.035 -0.301 -0.422 -0.661 -195.1582133757   -195.1968724262   -194.8070378113
1 0.035 -0.302 -0.424 -0.662 -195.1496649039   -195.1883314446   -194.7987415312
2 0.036 -0.305 -0.426 -0.665 -195.2013106060   -195.2399792889   -194.8520714525
